"","x"
"165","TCGA-50-6597-01A"
"166","TCGA-50-6673-01A"
"167","TCGA-50-7109-01A"
"168","TCGA-50-8457-01A"
"169","TCGA-50-8459-01A"
"170","TCGA-50-8460-01A"
"171","TCGA-53-7624-01A"
"172","TCGA-53-7626-01A"
"173","TCGA-53-7813-01A"
"174","TCGA-53-A4EZ-01A"
"175","TCGA-55-1592-01A"
"176","TCGA-55-1594-01A"
"177","TCGA-55-1596-01A"
"178","TCGA-55-5899-01A"
"179","TCGA-55-6543-01A"
"180","TCGA-55-6642-01A"
"181","TCGA-55-6712-01A"
"182","TCGA-55-6968-01A"
"183","TCGA-55-6970-01A"
"184","TCGA-55-6971-01A"
"185","TCGA-55-6972-01A"
"186","TCGA-55-6975-01A"
"187","TCGA-55-6978-01A"
"188","TCGA-55-6979-01A"
"189","TCGA-55-6980-01A"
"190","TCGA-55-6981-01A"
"191","TCGA-55-6982-01A"
"192","TCGA-55-6983-01A"
"193","TCGA-55-6984-01A"
"194","TCGA-55-6985-01A"
"195","TCGA-55-6986-01A"
"196","TCGA-55-6987-01A"
"197","TCGA-55-7227-01A"
"198","TCGA-55-7281-01A"
"199","TCGA-55-7283-01A"
"200","TCGA-55-7284-01B"
"201","TCGA-55-7570-01A"
"202","TCGA-55-7573-01A"
"203","TCGA-55-7574-01A"
"204","TCGA-55-7576-01A"
"205","TCGA-55-7724-01A"
"206","TCGA-55-7725-01A"
"207","TCGA-55-7726-01A"
"208","TCGA-55-7727-01A"
"209","TCGA-55-7728-01A"
"210","TCGA-55-7815-01A"
"211","TCGA-55-7816-01A"
"212","TCGA-55-7903-01A"
"213","TCGA-55-7907-01A"
"214","TCGA-55-7910-01A"
"215","TCGA-55-7911-01A"
"216","TCGA-55-7913-01B"
"217","TCGA-55-7914-01A"
"218","TCGA-55-7994-01A"
"219","TCGA-55-7995-01A"
"220","TCGA-55-8085-01A"
"221","TCGA-55-8087-01A"
"222","TCGA-55-8089-01A"
"223","TCGA-55-8090-01A"
"224","TCGA-55-8091-01A"
"225","TCGA-55-8092-01A"
"226","TCGA-55-8094-01A"
"227","TCGA-55-8096-01A"
"228","TCGA-55-8097-01A"
"229","TCGA-55-8203-01A"
"230","TCGA-55-8204-01A"
"231","TCGA-55-8205-01A"
"232","TCGA-55-8206-01A"
"233","TCGA-55-8207-01A"
"234","TCGA-55-8208-01A"
"235","TCGA-55-8299-01A"
"236","TCGA-55-8301-01A"
"237","TCGA-55-8302-01A"
"238","TCGA-55-8505-01A"
"239","TCGA-55-8506-01A"
"240","TCGA-55-8507-01A"
"241","TCGA-55-8508-01A"
"242","TCGA-55-8510-01A"
"243","TCGA-55-8511-01A"
"244","TCGA-55-8512-01A"
"245","TCGA-55-8513-01A"
"246","TCGA-55-8514-01A"
"247","TCGA-55-8614-01A"
"248","TCGA-55-8615-01A"
"249","TCGA-55-8616-01A"
"250","TCGA-55-8619-01A"
"251","TCGA-55-8620-01A"
"252","TCGA-55-8621-01A"
"253","TCGA-55-A48X-01A"
"254","TCGA-55-A48Y-01A"
"255","TCGA-55-A48Z-01A"
"256","TCGA-55-A490-01A"
"257","TCGA-55-A491-01A"
"258","TCGA-55-A492-01A"
"259","TCGA-55-A493-01A"
"260","TCGA-55-A494-01A"
"261","TCGA-55-A4DF-01A"
"262","TCGA-55-A4DG-01A"
"263","TCGA-55-A57B-01A"
"264","TCGA-62-8394-01A"
"265","TCGA-62-8395-01A"
"266","TCGA-62-8397-01A"
"267","TCGA-62-8398-01A"
"268","TCGA-62-8399-01A"
"269","TCGA-62-8402-01A"
"270","TCGA-62-A46O-01A"
"271","TCGA-62-A46P-01A"
"272","TCGA-62-A46R-01A"
"273","TCGA-62-A46S-01A"
"274","TCGA-62-A46V-01A"
"275","TCGA-62-A46Y-01A"
"276","TCGA-62-A470-01A"
"277","TCGA-62-A471-01A"
"278","TCGA-62-A472-01A"
"279","TCGA-64-1676-01A"
"280","TCGA-64-1677-01A"
"281","TCGA-64-1678-01A"
"282","TCGA-64-1679-01A"
"283","TCGA-64-1680-01A"
"284","TCGA-64-1681-01A"
"285","TCGA-64-5774-01A"
"286","TCGA-64-5775-01A"
"287","TCGA-64-5778-01A"
"288","TCGA-64-5779-01A"
"289","TCGA-64-5781-01A"
"290","TCGA-64-5815-01A"
"291","TCGA-67-3770-01A"
"292","TCGA-67-3771-01A"
"293","TCGA-67-3772-01A"
"294","TCGA-67-3773-01A"
"295","TCGA-67-3774-01A"
"296","TCGA-67-4679-01B"
"297","TCGA-67-6215-01A"
"298","TCGA-67-6216-01A"
"299","TCGA-67-6217-01A"
"300","TCGA-69-7760-01A"
"301","TCGA-69-7761-01A"
"302","TCGA-69-7763-01A"
"303","TCGA-69-7764-01A"
"304","TCGA-69-7765-01A"
"305","TCGA-69-7973-01A"
"306","TCGA-69-7974-01A"
"307","TCGA-69-7978-01A"
"308","TCGA-69-7979-01A"
"309","TCGA-69-7980-01A"
"310","TCGA-69-8253-01A"
"311","TCGA-69-8254-01A"
"312","TCGA-69-8255-01A"
"313","TCGA-69-8453-01A"
"314","TCGA-69-A59K-01A"
"315","TCGA-71-6725-01A"
"316","TCGA-71-8520-01A"
"317","TCGA-73-4658-01A"
"318","TCGA-73-4659-01A"
"319","TCGA-73-4662-01A"
"320","TCGA-73-4666-01A"
"321","TCGA-73-4668-01A"
"322","TCGA-73-4670-01A"
"323","TCGA-73-4675-01A"
"324","TCGA-73-4676-01A"
"325","TCGA-73-4677-01A"
"326","TCGA-73-7498-01A"
"327","TCGA-73-7499-01A"
"328","TCGA-73-A9RS-01A"
"329","TCGA-75-5122-01A"
"330","TCGA-75-5125-01A"
"331","TCGA-75-5126-01A"
"332","TCGA-75-5146-01A"
"333","TCGA-75-5147-01A"
"334","TCGA-75-6203-01A"
"335","TCGA-75-6205-01A"
"336","TCGA-75-6206-01A"
"337","TCGA-75-6207-01A"
"338","TCGA-75-6211-01A"
"339","TCGA-75-6212-01A"
"340","TCGA-75-6214-01A"
"341","TCGA-75-7025-01A"
"342","TCGA-75-7027-01A"
"343","TCGA-75-7030-01A"
"344","TCGA-75-7031-01A"
"345","TCGA-78-7143-01A"
"346","TCGA-78-7145-01A"
"347","TCGA-78-7146-01A"
"348","TCGA-78-7147-01A"
"349","TCGA-78-7148-01A"
"350","TCGA-78-7149-01A"
"351","TCGA-78-7150-01A"
"352","TCGA-78-7152-01A"
"353","TCGA-78-7153-01A"
"354","TCGA-78-7154-01A"
"355","TCGA-78-7155-01A"
"356","TCGA-78-7156-01A"
"357","TCGA-78-7158-01A"
"358","TCGA-78-7159-01A"
"359","TCGA-78-7160-01A"
"360","TCGA-78-7161-01A"
"361","TCGA-78-7162-01A"
"362","TCGA-78-7163-01A"
"363","TCGA-78-7166-01A"
"364","TCGA-78-7167-01A"
"365","TCGA-78-7220-01A"
"366","TCGA-78-7535-01A"
"367","TCGA-78-7536-01A"
"368","TCGA-78-7537-01A"
"369","TCGA-78-7539-01A"
"370","TCGA-78-7540-01A"
"371","TCGA-78-7542-01A"
"372","TCGA-78-7633-01A"
"373","TCGA-78-8640-01A"
"374","TCGA-78-8648-01A"
"375","TCGA-78-8655-01A"
"376","TCGA-78-8660-01A"
"377","TCGA-78-8662-01A"
"378","TCGA-80-5607-01A"
"379","TCGA-80-5608-01A"
"380","TCGA-80-5611-01A"
"381","TCGA-83-5908-01A"
"382","TCGA-86-6562-01A"
"383","TCGA-86-6851-01A"
"384","TCGA-86-7701-01A"
"385","TCGA-86-7711-01A"
