,gene_name,entrez_id
1063,CTNNA2,1496
1064,CTNS,1497
1065,CTNNB1,1499
1066,CTNND1,1500
1067,CTNND2,1501
1068,CTPS1,1503
1069,CTRB1,1504
1070,CTRL,1506
1071,CTSB,1508
1072,CTSD,1509
1073,CTSE,1510
1074,CTSG,1511
1075,CTSH,1512
1076,CTSK,1513
1077,CTSL,1514
1078,CTSV,1515
1079,CTSO,1519
1080,CTSS,1520
1081,CTSW,1521
1082,CTSZ,1522
1083,CUX1,1523
1084,CX3CR1,1524
1085,CXADR,1525
1086,TEX28,1527
1087,CYB5A,1528
1088,CYB561,1534
1089,CYBA,1535
1090,CYBB,1536
1091,CYC1,1537
1092,CYLC1,1538
1093,CYLC2,1539
1094,CYLD,1540
1095,CYP1A1,1543
1096,CYP1A2,1544
1097,CYP1B1,1545
1098,CYP2A6,1548
1099,CYP2A7,1549
1100,CYP3A7,1551
1101,CYP2A13,1553
1102,CYP2B6,1555
1103,CYP2C19,1557
1104,CYP2C8,1558
1105,CYP2C9,1559
1106,CYP2C18,1562
1107,CYP2D6,1565
1108,CYP2E1,1571
1109,CYP2F1,1572
1110,CYP2J2,1573
1111,CYP3A4,1576
1112,CYP3A5,1577
1113,CYP4A11,1579
1114,CYP4B1,1580
1115,CYP7A1,1581
1116,CYP8B1,1582
1117,CYP11A1,1583
1118,CYP11B1,1584
1119,CYP11B2,1585
1120,CYP17A1,1586
1121,CYP19A1,1588
1122,CYP21A2,1589
1123,CYP24A1,1591
1124,CYP26A1,1592
1125,CYP27A1,1593
1126,CYP27B1,1594
1127,CYP51A1,1595
1128,ADAM3B,1596
1129,DAB1,1600
1130,DACH1,1602
1131,DAD1,1603
1132,CD55,1604
1133,DAG1,1605
1134,DGKA,1606
1135,DGKB,1607
1136,DGKG,1608
1137,DGKQ,1609
1138,DAO,1610
1139,DAP,1611
1140,DAPK1,1612
1141,DAPK3,1613
1142,DARS1,1615
1143,DAXX,1616
1144,DAZ1,1617
1145,DAZL,1618
1146,BRINP1,1620
1147,DBH,1621
1148,DBI,1622
1149,DBN1,1627
1150,DBP,1628
1151,DBT,1629
1152,DCC,1630
1153,ECI1,1632
1154,DCK,1633
1155,DCN,1634
1156,DCTD,1635
1157,ACE,1636
1158,DCT,1638
1159,DCTN1,1639
1160,DCX,1641
1161,DDB1,1642
1162,DDB2,1643
1163,DDC,1644
1164,AKR1C1,1645
1165,AKR1C2,1646
1166,GADD45A,1647
1167,DDIT3,1649
1168,DDOST,1650
1169,DDT,1652
1170,DDX1,1653
1171,DDX3X,1654
1172,DDX5,1655
1173,DDX6,1656
1174,DMXL1,1657
1175,DHX8,1659
1176,DHX9,1660
1177,DDX10,1662
1178,DDX11,1663
1179,DHX15,1665
1180,DECR1,1666
1181,DEFA1,1667
1182,DEFA3,1668
1183,DEFA4,1669
1184,DEFA5,1670
1185,DEFA6,1671
1186,DEFB1,1672
1187,DEFB4A,1673
1188,DES,1674
1189,CFD,1675
1190,DFFA,1676
1191,DFFB,1677
1192,TIMM8A,1678
1193,GSDME,1687
1194,COCH,1690
1195,DGUOK,1716
1196,DHCR7,1717
1197,DHCR24,1718
1198,DHFR,1719
1199,DHODH,1723
1200,DHPS,1725
1201,CYB5R3,1727
1202,NQO1,1728
1203,DIAPH1,1729
1204,DIAPH2,1730
1205,SEPTIN1,1731
1206,DIO1,1733
1207,DIO2,1734
1208,DIO3,1735
1209,DKC1,1736
1210,DLAT,1737
